Node1	Node2	Net
MOL004863	HSP90AA1	target
MOL004863	CDK2	target
MOL004863	CCNA2	target
MOL004864	NOS2	target
MOL004864	ESR1	target
MOL004864	AR	target
MOL004864	PPARG	target
MOL004864	PTGS2	target
MOL004864	ESR2	target
MOL004864	DPP4	target
MOL004864	MAPK14	target
MOL004864	GSK3B	target
MOL004864	HSP90AA1	target
MOL004864	CDK2	target
MOL004864	CCNA2	target
MOL004866	AR	target
MOL004866	PPARG	target
MOL004866	PTGS2	target
MOL004866	F7	target
MOL004866	ADRB2	target
MOL004866	DPP4	target
MOL004866	HSP90AA1	target
MOL004866	CDK2	target
MOL004866	CCNA2	target
MOL004879	NOS2	target
MOL004879	ESR1	target
MOL004879	AR	target
MOL004879	PPARG	target
MOL004879	PTGS2	target
MOL004879	KDR	target
MOL004879	ESR2	target
MOL004879	DPP4	target
MOL004882	ESR1	target
MOL004882	AR	target
MOL004882	ESR2	target
MOL004882	GSK3B	target
MOL004882	HSP90AA1	target
MOL004882	CDK2	target
MOL004882	CCNA2	target
MOL004883	NOS2	target
MOL004883	ESR1	target
MOL004883	AR	target
MOL004883	PPARG	target
MOL004883	PTGS2	target
MOL004883	KDR	target
MOL004883	DPP4	target
MOL004883	MAPK14	target
MOL004883	HSP90AA1	target
MOL004883	CDK2	target
MOL004883	CCNA2	target
MOL004884	NOS2	target
MOL004884	ESR1	target
MOL004884	AR	target
MOL004884	PPARG	target
MOL004884	PTGS2	target
MOL004884	ESR2	target
MOL004884	GSK3B	target
MOL004884	CDK2	target
MOL004884	CCNA2	target
MOL004885	NOS2	target
MOL004885	PTGS1	target
MOL004885	ESR1	target
MOL004885	AR	target
MOL004885	PPARG	target
MOL004885	PTGS2	target
MOL004885	F7	target
MOL004885	ESR2	target
MOL004885	GSK3B	target
MOL004885	HSP90AA1	target
MOL004885	CDK2	target
MOL004885	CCNA2	target
MOL004891	NOS2	target
MOL004891	PTGS1	target
MOL004891	ESR1	target
MOL004891	AR	target
MOL004891	PPARG	target
MOL004891	PTGS2	target
MOL004891	RXRA	target
MOL004891	ADRB2	target
MOL004891	ESR2	target
MOL004891	MAPK14	target
MOL004891	GSK3B	target
MOL004891	CDK2	target
MOL004891	RXRB	target
MOL004891	CCNA2	target
MOL004898	ESR1	target
MOL004898	AR	target
MOL004898	PPARG	target
MOL004898	PTGS2	target
MOL004898	MAPK14	target
MOL004898	GSK3B	target
MOL004898	HSP90AA1	target
MOL004898	CDK2	target
MOL004898	CCNA2	target
MOL004903	F7	target
MOL004903	PTGS2	target
MOL004903	KDR	target
MOL004903	SOD1	target
MOL004904	NOS2	target
MOL004904	ESR1	target
MOL004904	AR	target
MOL004904	PPARG	target
MOL004904	PTGS2	target
MOL004904	F7	target
MOL004904	KDR	target
MOL004904	CDK2	target
MOL004904	CCNA2	target
MOL004907	NOS2	target
MOL004907	PTGS1	target
MOL004907	ESR1	target
MOL004907	AR	target
MOL004907	PPARG	target
MOL004907	PTGS2	target
MOL004907	ESR2	target
MOL004907	DPP4	target
MOL004907	MAPK14	target
MOL004907	GSK3B	target
MOL004907	HSP90AA1	target
MOL004907	CDK2	target
MOL004907	CCNA2	target
MOL004908	NOS2	target
MOL004908	ESR1	target
MOL004908	AR	target
MOL004908	PPARG	target
MOL004908	PTGS2	target
MOL004908	RXRA	target
MOL004908	ADRB2	target
MOL004908	ESR2	target
MOL004908	MAPK14	target
MOL004908	GSK3B	target
MOL004908	CDK2	target
MOL004908	RXRB	target
MOL004908	CCNA2	target
MOL004910	NOS2	target
