category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cancer: overview	hsa05231	Choline metabolism in cancer	10/144	99/9423	0.101010101010101	6.60984848484848	6.98988137096706	2.48027911087063e-06	6.25975204172112e-06	1.93946637241012e-06	PRKCA/AKT1/MAPK8/MAPK3/MAPK1/EGFR/FOS/EGF/HIF1A/PRKCB	10
Environmental Information Processing	Signaling molecules and interaction	hsa04518	Integrin signaling	12/144	154/9423	0.0779220779220779	5.09902597402597	6.38891041129753	3.82934015124517e-06	9.57335037811293e-06	2.96612246074601e-06	KDR/GSK3B/AKT1/ICAM1/VCAM1/CCND1/EGFR/EGF/COL1A1/SPP1/CTNNB1/MET	12
Organismal Systems	Immune system	hsa04623	Cytosolic DNA-sensing pathway	9/144	83/9423	0.108433734939759	7.09563253012048	6.94842852920218	4.45062326109211e-06	1.10225716279384e-05	3.41513639316463e-06	CASP3/CASP8/RELA/IKBKB/IL6/NFKBIA/IL1B/CXCL10/CHUK	9
Cellular Processes	Cell growth and death	hsa04110	Cell cycle	12/144	158/9423	0.0759493670886076	4.96993670886076	6.26890405884785	5.00094007917089e-06	1.21582488163329e-05	3.76700459850632e-06	GSK3B/CCNA2/CDK2/CCND1/RB1/CDK4/CDKN1A/TP53/MYC/E2F1/MDM2/PCNA	12
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	12/144	158/9423	0.0759493670886076	4.96993670886076	6.26890405884785	5.00094007917089e-06	1.21582488163329e-05	3.76700459850632e-06	PTGS2/CASP3/RXRA/PPARG/MAPK14/PPARD/ALOX5/MAPK3/MAPK1/IL10/ODC1/HIF1A	12
Organismal Systems	Endocrine system	hsa04910	Insulin signaling pathway	11/144	140/9423	0.0785714285714286	5.14151785714286	6.15009167462414	9.10465101570087e-06	2.19339319923703e-05	6.79581606913558e-06	GSK3B/IKBKB/AKT1/MAPK8/SLC2A4/INSR/MAPK3/MAPK1/BAD/SREBF1/HK2	11
Organismal Systems	Nervous system	hsa04726	Serotonergic synapse	10/144	115/9423	0.0869565217391304	5.69021739130435	6.30399578660198	9.63931953408278e-06	2.30127898786661e-05	7.13007988296308e-06	PTGS1/PTGS2/SLC6A4/CASP3/PRKCA/ALOX5/MAPK3/MAPK1/PRKCB/APP	10
Human Diseases	Cancer: overview	hsa05204	Chemical carcinogenesis - DNA adducts	8/144	70/9423	0.114285714285714	7.47857142857143	6.77727351101193	1.03883858043266e-05	2.45796628405943e-05	7.61554598437479e-06	PTGS2/CYP3A4/CYP1A2/CYP1A1/CYP1B1/GSTP1/GSTM1/GSTM2	8
Organismal Systems	Endocrine system	hsa04913	Ovarian steroidogenesis	7/144	52/9423	0.134615384615385	8.80889423076923	7.03396903272657	1.26628599772334e-05	2.96960875572288e-05	9.20077390055152e-06	PTGS2/CYP1A1/CYP1B1/ALOX5/INSR/LDLR/CYP19A1	7
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	13/144	212/9423	0.0613207547169811	4.01267688679245	5.52674342842528	2.05818797837811e-05	4.76345713892048e-05	1.47586755446196e-05	PRKCA/KDR/MAPK14/AKT1/INSR/MAPK3/MAPK1/EGFR/EGF/PRKCB/CTNNB1/MET/DRD2	13
