ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0048638	regulation of developmental growth	19/149	332/18860	0.0572289156626506	7.24387482817175	10.2426639446071	1.6933683566035e-11	4.47933680571612e-10	1.89489224751675e-10	ADRB2/SLC6A4/BCL2/MAPK14/GSK3B/AR/PPARD/AKT1/INSR/SOD1/PPARA/STAT3/FOSL2/CDKN1A/HSF1/SPP1/IGF2/APP/DRD2	19
BP	GO:0071482	cellular response to light stimulus	13/149	124/18860	0.104838709677419	13.2701883524572	12.2328485283145	1.77905507843077e-11	4.67621249412846e-10	1.9781764996009e-10	BAX/CASP9/MAPK14/MMP1/MMP3/CDKN1A/MMP2/MMP9/TP53/MYC/PARP1/MDM2/PCNA	13
BP	GO:0015850	organic hydroxy compound transport	18/149	294/18860	0.0612244897959184	7.74962333926859	10.4087360365769	1.96968917619462e-11	5.14472902436241e-10	2.17637287988667e-10	SLC6A4/PON1/RXRA/PPARG/MAPK3/LDLR/MTTP/APOB/CYP19A1/ADIPOQ/SOAT2/CES1/SOAT1/EGF/NFKBIA/CAV1/SPP1/DRD2	18
BP	GO:0031960	response to corticosteroid	14/149	154/18860	0.0909090909090909	11.5070164734594	11.6829703271737	2.03002406306945e-11	5.26918120870465e-10	2.22901984293613e-10	BCL2/CASP9/CASP3/PRKCA/TNF/GSTP1/ADIPOQ/CCND1/FOSL2/FOS/IL10/IL6/PARP1/PCNA	14
BP	GO:0040013	negative regulation of locomotion	21/149	424/18860	0.0495283018867925	6.26915284285172	9.79251713218138	2.05892304392957e-11	5.31099838598726e-10	2.24670974849196e-10	BCL2/PPARG/GSK3B/DPP4/PPARD/IL4/AKT1/TNF/HMOX1/CYP1B1/GSTP1/CYP19A1/ADIPOQ/STAT3/GJA1/CCL2/SERPINE1/NFE2L2/COL3A1/IGFBP3/DRD2	21
BP	GO:0010742	macrophage derived foam cell differentiation	9/149	40/18860	0.225	28.4798657718121	15.5252555756522	2.08566577362203e-11	5.34677157892116e-10	2.26184286950953e-10	PPARG/TNF/APOB/PPARA/ADIPOQ/SOAT2/SOAT1/NFKBIA/IL1B	9
BP	GO:0001659	temperature homeostasis	15/149	186/18860	0.0806451612903226	10.2078371941979	11.2615816975497	2.12485797828353e-11	5.41382526614203e-10	2.29020856684224e-10	PTGS2/ADRB2/IL4/TNF/ADIPOQ/STAT3/RB1/CAV1/GJA1/IL1B/PTGER3/IL1A/HSF1/PTGES/DRD2	15
BP	GO:0030301	cholesterol transport	13/149	127/18860	0.102362204724409	12.9567193362575	12.0646351835583	2.41713026629822e-11	6.12094024142471e-10	2.58933916203577e-10	PON1/RXRA/PPARG/MAPK3/LDLR/APOB/ADIPOQ/SOAT2/CES1/SOAT1/EGF/NFKBIA/CAV1	13
BP	GO:1902894	negative regulation of miRNA transcription	8/149	27/18860	0.296296296296296	37.5043499875715	16.9383348297334	2.45543331385981e-11	6.18025124391502e-10	2.61442947421501e-10	ESR1/PPARG/PPARD/RELA/TNF/PPARA/HIF1A/APP	8
BP	GO:0042176	regulation of protein catabolic process	20/149	383/18860	0.0522193211488251	6.60977447561638	9.89767125147137	2.50227773962631e-11	6.26021653775184e-10	2.64825716387844e-10	HSP90AA1/NOS2/GSK3B/CDK2/RELA/AKT1/TNF/MAPK3/LDLR/HMGCR/EGFR/IL10/ODC1/CAV1/IL1B/IFNG/NFE2L2/NQO1/MDM2/APP	20
BP	GO:0090077	foam cell differentiation	9/149	41/18860	0.219512195121951	27.7852348993289	15.321210578958	2.65440953755809e-11	6.60105557453816e-10	2.79244217975698e-10	PPARG/TNF/APOB/PPARA/ADIPOQ/SOAT2/SOAT1/NFKBIA/IL1B	9
BP	GO:0033344	cholesterol efflux	11/149	79/18860	0.139240506329114	17.6246708011214	13.2132973566564	2.9396733919047e-11	7.26694261701203e-10	3.07413213727377e-10	PON1/RXRA/PPARG/MAPK3/APOB/ADIPOQ/SOAT2/CES1/SOAT1/EGF/CAV1	11
BP	GO:0045637	regulation of myeloid cell differentiation	16/149	227/18860	0.0704845814977974	8.92173964462053	10.7150960029528	3.39556209090358e-11	8.34424222693642e-10	3.52986180611527e-10	CASP8/PRKCA/MAPK14/IL4/TNF/STAT1/ADIPOQ/STAT3/RB1/FOS/NFKBIA/HIF1A/MYC/IFNG/HSF1/CTNNB1	16
BP	GO:0051384	response to glucocorticoid	13/149	133/18860	0.0977443609022556	12.3722056819902	11.7446583086257	4.35755203761096e-11	1.06452433012931e-09	4.50325346797071e-10	BCL2/CASP9/CASP3/PRKCA/TNF/GSTP1/ADIPOQ/CCND1/FOSL2/FOS/IL10/IL6/PCNA	13
BP	GO:0001660	fever generation	6/149	10/18860	0.6	75.9463087248322	21.1542939852142	4.49608386182539e-11	1.09194364199771e-09	4.61924528494095e-10	PTGS2/TNF/IL1B/PTGER3/IL1A/PTGES	6
BP	GO:1903706	regulation of hemopoiesis	21/149	443/18860	0.0474040632054176	6.00027269835018	9.50364212984647	4.66099076719755e-11	1.12450398078703e-09	4.75698516971512e-10	CASP8/PRKCA/MAPK14/IL4/TNF/STAT1/BAD/SOD1/ADIPOQ/STAT3/RB1/FOS/IL10/NFKBIA/HIF1A/MYC/IL2RA/IFNG/HSF1/IRF1/CTNNB1	21
BP	GO:2000629	negative regulation of miRNA metabolic process	8/149	29/18860	0.275862068965517	34.9178430918769	16.3115224840973	4.68430504878777e-11	1.12450398078703e-09	4.75698516971512e-10	ESR1/PPARG/PPARD/RELA/TNF/PPARA/HIF1A/APP	8
BP	GO:0002685	regulation of leukocyte migration	16/149	233/18860	0.0686695278969957	8.69199527608952	10.5426424338585	5.02255420783892e-11	1.19877400144569e-09	5.07116937258509e-10	DPP4/F7/AKT1/TNF/HMOX1/ICAM1/SELE/MAPK3/MAPK1/CYP19A1/IL6/CCL2/CXCL8/SERPINE1/CXCL10/APP	16
BP	GO:0031348	negative regulation of defense response	18/149	313/18860	0.0575079872204473	7.27919891931299	9.99639800575188	5.53623892895025e-11	1.31382858696745e-09	5.55788437438675e-10	PPARG/MAPK14/PPARD/IL4/ALOX5/GSTP1/AHR/LDLR/SOD1/CYP19A1/PPARA/ADIPOQ/STAT3/RB1/IL10/IL2RA/PARP1/DRD2	18
BP	GO:0098754	detoxification	14/149	166/18860	0.0843373493975904	10.6751839573057	11.1729053850199	5.60197666538021e-11	1.3218755165525e-09	5.59192527184185e-10	PTGS1/PTGS2/GSTP1/GSTM1/GSTM2/SOD1/CAT/GSR/NOS3/MPO/ABCG2/NFE2L2/NQO1/PTGES	14
BP	GO:0042063	gliogenesis	19/149	357/18860	0.0532212885154062	6.73660068054067	9.76498586146974	5.91451916511355e-11	1.38774000523823e-09	5.87055158285728e-10	RELA/AKT1/TNF/GSTP1/MAPK3/MAPK1/LDLR/SOD1/STAT3/RB1/IL6/TP53/IL1B/CCL2/IFNG/COL3A1/E2F1/CTNNB1/APP	19
BP	GO:0051098	regulation of binding	12/149	109/18860	0.110091743119266	13.9351025183178	12.085785226575	6.13862535681146e-11	1.43223096105831e-09	6.05876151420362e-10	BAX/GSK3B/MAPK8/SLPI/ADIPOQ/RB1/MMP9/IL10/EGF/IFNG/E2F1/MET	12
BP	GO:0090594	inflammatory response to wounding	8/149	30/18860	0.266666666666667	33.7539149888143	16.0214806620846	6.34525459683425e-11	1.47216996316495e-09	6.22771533202962e-10	PPARG/TNF/HMOX1/ALOX5/STAT3/IL6/HIF1A/IL1A	8
BP	GO:0030595	leukocyte chemotaxis	16/149	237/18860	0.0675105485232067	8.54529493387704	10.4310862592261	6.47905819370065e-11	1.49219191938569e-09	6.31241414184982e-10	DPP4/F7/ALOX5/MAPK3/MAPK1/CYP19A1/MMP2/IL10/IL6/IL1B/CCL2/CXCL8/SERPINE1/CXCL11/CXCL10/APP	16
BP	GO:0050863	regulation of T cell activation	20/149	404/18860	0.0495049504950495	6.26619708950761	9.54823206102806	6.50341289209752e-11	1.49219191938569e-09	6.31241414184982e-10	CASP3/DPP4/IL4/AKT1/VCAM1/MAPK3/BAD/SOD1/IL10/IL6/CAV1/IL1B/CCL2/IL2RA/IFNG/IL1A/IGF2/CD40LG/IRF1/CTNNB1	20
BP	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	11/149	86/18860	0.127906976744186	16.1901045731231	12.5989846733948	7.59167645426562e-11	1.72285422483962e-09	7.288184067972e-10	BCL2/BAX/CASP8/GSK3B/TNF/HMOX1/ICAM1/BAD/BCL2L1/NOS3/SERPINE1	11
BP	GO:1904019	epithelial cell apoptotic process	11/149	86/18860	0.127906976744186	16.1901045731231	12.5989846733948	7.59167645426562e-11	1.72285422483962e-09	7.288184067972e-10	BCL2/BAX/CASP9/CASP3/ESR1/HMOX1/PPARA/RB1/BCL2L1/IL6/E2F1	11
BP	GO:0031649	heat generation	7/149	19/18860	0.368421052631579	46.6336983398092	17.7588344190322	7.75808785970757e-11	1.75105102616117e-09	7.4074648957963e-10	PTGS2/ADRB2/TNF/IL1B/PTGER3/IL1A/PTGES	7
BP	GO:0042593	glucose homeostasis	17/149	281/18860	0.0604982206405694	7.65769423678617	10.0339008078611	8.90785419306051e-11	1.99969288993407e-09	8.45929368319659e-10	PPARG/PPARD/NCF1/AKT1/ICAM1/ALOX5/SLC2A4/INSR/MAPK3/BAD/ADIPOQ/STAT3/FOSL2/IL6/HIF1A/COL1A1/HK2	17
BP	GO:0043467	regulation of generation of precursor metabolites and energy	13/149	141/18860	0.0921985815602837	11.6702365652815	11.3487034401572	9.14154674569544e-11	2.04112062553082e-09	8.63454528498342e-10	NOS2/GSK3B/IL4/AKT1/TNF/INSR/PPARA/STAT3/TP53/HIF1A/IFNG/IGF2/APP	13
BP	GO:0007596	blood coagulation	16/149	243/18860	0.065843621399177	8.3342999972381	10.2685925701881	9.40697829055071e-11	2.08006292869051e-09	8.79928277081746e-10	SLC6A4/PRKCA/PLAU/MAPK14/F7/IL6/CAV1/F3/NOS3/HSPB1/PLAT/THBD/SERPINE1/NFE2L2/COL3A1/CD40LG	16
BP	GO:0033500	carbohydrate homeostasis	17/149	282/18860	0.0602836879432624	7.63053929268409	10.0110099495291	9.41612883683642e-11	2.08006292869051e-09	8.79928277081746e-10	PPARG/PPARD/NCF1/AKT1/ICAM1/ALOX5/SLC2A4/INSR/MAPK3/BAD/ADIPOQ/STAT3/FOSL2/IL6/HIF1A/COL1A1/HK2	17
BP	GO:0051054	positive regulation of DNA metabolic process	17/149	283/18860	0.0600706713780919	7.60357625631418	9.98823127120545	9.95114778363511e-11	2.18661993362099e-09	9.25005048782345e-10	HSP90AA1/BAX/CCNA2/CDK2/IL4/AKT1/TNF/MAPK3/MAPK1/EGFR/CDKN1A/IL6/MYC/PARP1/HSF1/CTNNB1/PCNA	17
BP	GO:0010575	positive regulation of vascular endothelial growth factor production	8/149	32/18860	0.25	31.6442953020134	15.4819798599887	1.1252074501053e-10	2.45492796362713e-09	1.03850729879318e-09	PTGS2/RELA/CYP1B1/STAT3/IL6/HIF1A/IL1B/IL1A	8
BP	GO:0000082	G1/S transition of mitotic cell cycle	16/149	246/18860	0.0650406504065041	8.23266219239374	10.1894289490648	1.12904223706425e-10	2.45492796362713e-09	1.03850729879318e-09	BCL2/GSK3B/CCNA2/CDK2/AKT1/CYP1A1/CCND1/RB1/CDK4/EGFR/CDKN1A/TP53/MYC/CCL2/E2F1/MDM2	16
BP	GO:0050817	coagulation	16/149	248/18860	0.0645161290322581	8.1662697553583	10.1373965549337	1.27331736993395e-10	2.75421199861234e-09	1.1651133171161e-09	SLC6A4/PRKCA/PLAU/MAPK14/F7/IL6/CAV1/F3/NOS3/HSPB1/PLAT/THBD/SERPINE1/NFE2L2/COL3A1/CD40LG	16
BP	GO:0050921	positive regulation of chemotaxis	13/149	145/18860	0.0896551724137931	11.34829900486	11.1625140683147	1.30106101373237e-10	2.79964061659614e-09	1.18433096914062e-09	KDR/F7/MAPK3/MAPK1/IL6/F3/CCL2/CXCL8/HSPB1/SERPINE1/CXCL10/APP/MET	13
BP	GO:0007623	circadian rhythm	15/149	212/18860	0.0707547169811321	8.95593263264531	10.3955354162194	1.36605854531668e-10	2.92435110242276e-09	1.23708720137468e-09	SLC6A4/NOS2/PPARG/GSK3B/F7/TNF/MAPK8/AHR/MTTP/PPARA/SREBF1/ADIPOQ/TP53/PARP1/DRD2	15
BP	GO:0046879	hormone secretion	18/149	331/18860	0.054380664652568	6.8833512439425	9.63644281260028	1.38092230496421e-10	2.94101042693147e-09	1.24413458946573e-09	PRKCA/NOS2/PPARG/PPARD/TNF/ALOX5/BAD/CYP19A1/SREBF1/ADIPOQ/IL6/HIF1A/GJA1/IL1B/PRKCB/IFNG/SPP1/DRD2	18
BP	GO:0007599	hemostasis	16/149	250/18860	0.064	8.10093959731544	10.0859451326291	1.43443801738838e-10	3.03939851337447e-09	1.28575566649904e-09	SLC6A4/PRKCA/PLAU/MAPK14/F7/IL6/CAV1/F3/NOS3/HSPB1/PLAT/THBD/SERPINE1/NFE2L2/COL3A1/CD40LG	16
BP	GO:1903034	regulation of response to wounding	14/149	179/18860	0.0782122905027933	9.899891267669	10.676161163841	1.53830477276066e-10	3.24293386866752e-09	1.37185715508284e-09	PLAU/F7/TNF/ALOX5/STAT3/IL10/CAV1/F3/NOS3/PLAT/THBD/SERPINE1/NFE2L2/SPP1	14
BP	GO:0014074	response to purine-containing compound	13/149	149/18860	0.087248322147651	11.0436466825819	10.9834815922048	1.83184037872403e-10	3.84223893577824e-09	1.62538096336545e-09	SLC6A4/RELA/STAT1/AHR/GSTM2/SOD1/SREBF1/ADIPOQ/FOS/IL1B/THBD/COL1A1/APP	13
BP	GO:0042886	amide transport	18/149	338/18860	0.0532544378698225	6.74079663238156	9.50365227133569	1.93996418489654e-10	4.04857852255041e-09	1.71266872498933e-09	PRKCA/NOS2/PPARD/TNF/ALOX5/BAD/MTTP/SREBF1/ABCC1/CA2/IL6/HIF1A/GJA1/IL1B/PRKCB/IFNG/ABCG2/DRD2	18
BP	GO:0033559	unsaturated fatty acid metabolic process	12/149	121/18860	0.0991735537190083	12.5531088801376	11.3768573042474	2.11462287320279e-10	4.39101439620559e-09	1.85752925019761e-09	PTGS1/PTGS2/AKR1B1/CYP1A2/CYP1A1/CYP1B1/ALOX5/GSTP1/GSTM1/GSTM2/IL1B/PTGES	12
BP	GO:0048662	negative regulation of smooth muscle cell proliferation	10/149	71/18860	0.140845070422535	17.8277720011343	12.6767499924499	2.13644934878299e-10	4.39241294331473e-09	1.85812087708119e-09	PPARG/PPARD/HMOX1/GSTP1/ADIPOQ/CDKN1A/IL10/NOS3/IFNG/IGFBP3	10
BP	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	10/149	71/18860	0.140845070422535	17.8277720011343	12.6767499924499	2.13644934878299e-10	4.39241294331473e-09	1.85812087708119e-09	BCL2/BAX/GSK3B/AKT1/TNF/BAD/BCL2L1/IL1B/IL1A/MCL1	10
BP	GO:0071347	cellular response to interleukin-1	11/149	95/18860	0.115789473684211	14.6563051925115	11.9076126073693	2.28057248548545e-10	4.65303061613742e-09	1.96836987804209e-09	RELA/IKBKB/HAS2/MAPK3/MMP2/IL6/NFKBIA/HIF1A/IL1B/CCL2/CXCL8	11
BP	GO:0032944	regulation of mononuclear cell proliferation	16/149	258/18860	0.062015503875969	7.84974767181728	9.88572605454253	2.2856206253119e-10	4.65303061613742e-09	1.96836987804209e-09	BCL2/CASP3/IL4/VCAM1/AHR/BCL2L1/CDKN1A/IL10/IL6/IL1B/IL2RA/IL1A/IGF2/CD40LG/IRF1/CTNNB1	16
BP	GO:0045444	fat cell differentiation	16/149	259/18860	0.0617760617760618	7.81943976574849	9.86130516302501	2.41983524649992e-10	4.90223208717764e-09	2.07378948724434e-09	PTGS2/ADRB2/PPARG/MAPK14/PPARD/AKT1/TNF/ALOX5/SLC2A4/SREBF1/ADIPOQ/CCND1/FOSL2/IL6/SULT1E1/E2F1	16
BP	GO:0009914	hormone transport	18/149	343/18860	0.0524781341107872	6.64253429080165	9.41108983073747	2.46074472089666e-10	4.96090913877855e-09	2.09861161940548e-09	PRKCA/NOS2/PPARG/PPARD/TNF/ALOX5/BAD/CYP19A1/SREBF1/ADIPOQ/IL6/HIF1A/GJA1/IL1B/PRKCB/IFNG/SPP1/DRD2	18
BP	GO:0014909	smooth muscle cell migration	11/149	96/18860	0.114583333333333	14.5036353467562	11.8366163431055	2.558419880703e-10	5.06656877478846e-09	2.14330877745243e-09	BCL2/PLAU/PPARD/HAS2/GSTP1/ADIPOQ/PLAT/SERPINE1/NFE2L2/IGFBP3/MDM2	11
BP	GO:0019915	lipid storage	11/149	96/18860	0.114583333333333	14.5036353467562	11.8366163431055	2.558419880703e-10	5.06656877478846e-09	2.14330877745243e-09	PPARG/PPARD/TNF/APOB/PPARA/SOAT2/CES1/SOAT1/IL6/NFKBIA/CAV1	11
BP	GO:0097194	execution phase of apoptosis	11/149	96/18860	0.114583333333333	14.5036353467562	11.8366163431055	2.558419880703e-10	5.06656877478846e-09	2.14330877745243e-09	BAX/CASP9/CASP3/CASP8/AKT1/BCL2L1/IL6/TP53/HSF1/CTSD/XIAP	11
BP	GO:0006109	regulation of carbohydrate metabolic process	14/149	186/18860	0.0752688172043011	9.52731471458469	10.4292733780659	2.56195387119089e-10	5.06656877478846e-09	2.14330877745243e-09	GSK3B/AKT1/HAS2/INSR/PPARA/ADIPOQ/STAT3/EGF/TP53/HIF1A/IFNG/IGFBP3/IGF2/APP	14
BP	GO:1903376	regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	7/149	22/18860	0.318181818181818	40.274557657108	16.4478528357341	2.57427908970326e-10	5.06681566802731e-09	2.14341322061099e-09	AKT1/MMP2/IL10/HIF1A/PARP1/CTNNB1/MCL1	7
BP	GO:2001235	positive regulation of apoptotic signaling pathway	13/149	154/18860	0.0844155844155844	10.6850867253552	10.769049531258	2.76965344885643e-10	5.42564659108527e-09	2.29520933770675e-09	BAX/PPARG/TNF/BAD/SOD1/MMP2/TP53/CAV1/MYC/HSF1/CD40LG/APP/MCL1	13
BP	GO:0030225	macrophage differentiation	10/149	73/18860	0.136986301369863	17.3393398915142	12.4816265548832	2.83646132677683e-10	5.47898785586242e-09	2.31777427387542e-09	CASP8/PRKCA/ADIPOQ/RB1/FOSL2/MMP9/IFNG/PARP1/HSF1/APP	10
BP	GO:0038034	signal transduction in absence of ligand	10/149	73/18860	0.136986301369863	17.3393398915142	12.4816265548832	2.83646132677683e-10	5.47898785586242e-09	2.31777427387542e-09	BCL2/BAX/GSK3B/AKT1/TNF/BAD/BCL2L1/IL1B/IL1A/MCL1	10
BP	GO:0072577	endothelial cell apoptotic process	10/149	73/18860	0.136986301369863	17.3393398915142	12.4816265548832	2.83646132677683e-10	5.47898785586242e-09	2.31777427387542e-09	KDR/IL4/TNF/ICAM1/IL10/F3/CCL2/SERPINE1/NFE2L2/CD40LG	10
BP	GO:0042098	T cell proliferation	15/149	224/18860	0.0669642857142857	8.47615052732502	10.0445309290991	2.95940641474784e-10	5.69000687057767e-09	2.40704157222911e-09	BAX/CASP3/IL4/VCAM1/IL10/IL6/TP53/MYC/IL1B/IL2RA/IL1A/IGF2/CD40LG/IRF1/CTNNB1	15
BP	GO:0051222	positive regulation of protein transport	16/149	263/18860	0.0608365019011407	7.70051292520479	9.76491445579517	3.03263908396287e-10	5.80394014548286e-09	2.45523872478003e-09	HSP90AA1/PRKCA/RXRA/PPARG/MAPK14/GSK3B/PPARD/TNF/BAD/HIF1A/IL1B/PRKCB/IFNG/IL1A/MDM2/APP	16
BP	GO:0010332	response to gamma radiation	9/149	53/18860	0.169811320754717	21.4942383183487	13.3325714482981	3.09822438756564e-10	5.87532003088775e-09	2.48543453218388e-09	BCL2/BAX/BCL2L1/CDKN1A/TP53/PARP1/HSF1/CXCL10/MDM2	9
BP	GO:0071887	leukocyte apoptotic process	12/149	125/18860	0.096	12.1514093959732	11.1625105665463	3.09823040395959e-10	5.87532003088775e-09	2.48543453218388e-09	BCL2/BAX/CASP9/CASP3/AKT1/BCL2L1/IL10/IL6/TP53/HIF1A/MYC/IL2RA	12
BP	GO:0048661	positive regulation of smooth muscle cell proliferation	11/149	98/18860	0.112244897959184	14.2076427886591	11.697761208603	3.20703144588964e-10	6.05400072489986e-09	2.56102176229178e-09	PRKCA/AKT1/TNF/STAT1/HMOX1/MMP2/MMP9/IL10/IL6/GJA1/MDM2	11
BP	GO:0002064	epithelial cell development	15/149	226/18860	0.0663716814159292	8.40114034566728	9.98858060881651	3.35087559434995e-10	6.2969168974368e-09	2.66378250391525e-09	AKR1B1/ESR1/KDR/GSK3B/AR/IKBKB/AKT1/TNF/ICAM1/BAD/ADIPOQ/FOSL2/HIF1A/IL1B/MET	15
BP	GO:0010888	negative regulation of lipid storage	7/149	23/18860	0.304347826086957	38.5234899328859	16.068126347831	3.67615966658935e-10	6.87706806096646e-09	2.90920364321366e-09	PPARG/PPARD/TNF/PPARA/CES1/IL6/NFKBIA	7
BP	GO:0030162	regulation of proteolysis	19/149	398/18860	0.0477386934673367	6.0426292536508	9.073256045307	3.73861969226397e-10	6.96255048518936e-09	2.9453652425719e-09	CASP8/PLAU/GSK3B/CDK2/AKT1/TNF/MAPK3/BAD/IL10/EGF/TP53/CAV1/IL1B/PLAT/SERPINE1/IFNG/NFE2L2/MDM2/APP	19
BP	GO:0050867	positive regulation of cell activation	19/149	401/18860	0.0473815461346633	5.99742255100504	9.02647406609731	4.24076291395914e-10	7.86245017038942e-09	3.32604948467942e-09	BCL2/DPP4/IL4/AKT1/TNF/VCAM1/BAD/CDKN1A/IL10/IL6/CAV1/IL1B/CCL2/IL2RA/IFNG/IL1A/IGF2/CD40LG/APP	19
BP	GO:0170062	nutrient storage	11/149	101/18860	0.108910891089109	13.7856335969167	11.4969347031237	4.45832370115356e-10	8.22907481372922e-09	3.48114257647967e-09	PPARG/PPARD/TNF/APOB/PPARA/SOAT2/CES1/SOAT1/IL6/NFKBIA/CAV1	11
BP	GO:0046683	response to organophosphorus	12/149	129/18860	0.0930232558139535	11.7746215077259	10.9577241032575	4.47854755936016e-10	8.22982655487732e-09	3.4814605852688e-09	SLC6A4/RELA/STAT1/AHR/SOD1/SREBF1/ADIPOQ/FOS/IL1B/THBD/COL1A1/APP	12
BP	GO:0010720	positive regulation of cell development	20/149	451/18860	0.0443458980044346	5.61317876754118	8.84865823777054	4.52491171462957e-10	8.27839574927603e-09	3.50200679421134e-09	BCL2/CASP8/PRKCA/RELA/IL4/TNF/BAD/ADIPOQ/RB1/FOS/IL10/IL6/HIF1A/IL1B/IL2RA/IFNG/HSF1/E2F1/CTNNB1/DRD2	20
BP	GO:0036480	neuron intrinsic apoptotic signaling pathway in response to oxidative stress	7/149	24/18860	0.291666666666667	36.9183445190157	15.7120031248527	5.15570124418651e-10	9.39106459083621e-09	3.97269869646689e-09	AKT1/MMP2/IL10/HIF1A/PARP1/CTNNB1/MCL1	7
BP	GO:0033209	tumor necrosis factor-mediated signaling pathway	12/149	131/18860	0.0916030534351145	11.5948562938675	10.8586888417757	5.3588405531328e-10	9.71845625203516e-09	4.11119507385826e-09	CASP8/MAPK14/RELA/IKBKB/TNF/STAT1/GSTP1/ADIPOQ/TP53/NFKBIA/CHUK/XIAP	12
BP	GO:0001894	tissue homeostasis	16/149	275/18860	0.0581818181818182	7.36449054301403	9.48751935270542	5.83305403975684e-10	1.04416695806509e-08	4.41713574970697e-09	ADRB2/BCL2/BAX/PRKCA/NR1I2/AHR/SOD1/RB1/FOSL2/IL6/GJA1/NOS3/COL3A1/SPP1/CTNNB1/XIAP	16
BP	GO:0044843	cell cycle G1/S phase transition	16/149	275/18860	0.0581818181818182	7.36449054301403	9.48751935270542	5.83305403975684e-10	1.04416695806509e-08	4.41713574970697e-09	BCL2/GSK3B/CCNA2/CDK2/AKT1/CYP1A1/CCND1/RB1/CDK4/EGFR/CDKN1A/TP53/MYC/CCL2/E2F1/MDM2	16
BP	GO:0060249	anatomical structure homeostasis	16/149	275/18860	0.0581818181818182	7.36449054301403	9.48751935270542	5.83305403975684e-10	1.04416695806509e-08	4.41713574970697e-09	ADRB2/BCL2/BAX/PRKCA/NR1I2/AHR/SOD1/RB1/FOSL2/IL6/GJA1/NOS3/COL3A1/SPP1/CTNNB1/XIAP	16
BP	GO:1905954	positive regulation of lipid localization	11/149	104/18860	0.105769230769231	13.3879710893134	11.3044830195942	6.13136603179885e-10	1.09067859743177e-08	4.61389377143631e-09	PON1/RXRA/PPARG/APOB/CYP19A1/ADIPOQ/CES1/CAV1/IL1B/SPP1/PTGES	11
BP	GO:1903829	positive regulation of protein localization	20/149	459/18860	0.0435729847494553	5.51534558640757	8.73937933172183	6.14540794122403e-10	1.09067859743177e-08	4.61389377143631e-09	HSP90AA1/PRKCA/RXRA/PPARG/MAPK14/GSK3B/PPARD/AKT1/TNF/BAD/EGFR/EGF/HIF1A/IL1B/PRKCB/IFNG/IL1A/PARP1/MDM2/APP	20
BP	GO:0010562	positive regulation of phosphorus metabolic process	17/149	320/18860	0.053125	6.72441275167785	9.21626661414801	6.64672288878149e-10	1.16965424394532e-08	4.94798416653716e-09	KDR/IL4/AKT1/TNF/INSR/MAPK1/PPARA/ADIPOQ/STAT3/EGFR/CDKN1A/MMP9/EGF/IL6/HIF1A/IFNG/APP	17
BP	GO:0045937	positive regulation of phosphate metabolic process	17/149	320/18860	0.053125	6.72441275167785	9.21626661414801	6.64672288878149e-10	1.16965424394532e-08	4.94798416653716e-09	KDR/IL4/AKT1/TNF/INSR/MAPK1/PPARA/ADIPOQ/STAT3/EGFR/CDKN1A/MMP9/EGF/IL6/HIF1A/IFNG/APP	17
BP	GO:0010878	cholesterol storage	7/149	25/18860	0.28	35.441610738255	15.3771061068728	7.1135514778951e-10	1.24652233281428e-08	5.27315896806881e-09	PPARG/PPARD/APOB/PPARA/SOAT2/CES1/SOAT1	7
BP	GO:0042759	long-chain fatty acid biosynthetic process	8/149	40/18860	0.2	25.3154362416107	13.7374529125871	7.79988405060781e-10	1.361046994209e-08	5.7576322337304e-09	PTGS2/CYP3A4/CYP1A2/CYP1A1/ALOX5/GSTP1/GSTM1/GSTM2	8
BP	GO:0050708	regulation of protein secretion	16/149	281/18860	0.0569395017793594	7.20724163462227	9.35501761376936	7.99096181533176e-10	1.38855499661393e-08	5.87399923796024e-09	PRKCA/NOS2/PPARG/PPARD/TNF/ALOX5/BAD/HMGCR/SREBF1/IL6/HIF1A/IL1B/PRKCB/IFNG/IL1A/DRD2	16
BP	GO:0008585	female gonad development	11/149	107/18860	0.102803738317757	13.0126074139121	11.1198201003349	8.34719684901026e-10	1.44441285474748e-08	6.11029453552549e-09	BCL2/BAX/CASP3/ESR1/KDR/INSR/SOD1/CYP19A1/BCL2L1/MMP2/NOS3	11
BP	GO:0006706	steroid catabolic process	7/149	26/18860	0.269230769230769	34.0784718637068	15.061380977244	9.67024844593577e-10	1.65269719324985e-08	6.99139902805579e-09	CYP3A4/CYP1A2/CYP1A1/CYP1B1/CYP19A1/SULT1E1/SPP1	7
BP	GO:0030194	positive regulation of blood coagulation	7/149	26/18860	0.269230769230769	34.0784718637068	15.061380977244	9.67024844593577e-10	1.65269719324985e-08	6.99139902805579e-09	PLAU/F7/F3/PLAT/THBD/SERPINE1/NFE2L2	7
BP	GO:1900048	positive regulation of hemostasis	7/149	26/18860	0.269230769230769	34.0784718637068	15.061380977244	9.67024844593577e-10	1.65269719324985e-08	6.99139902805579e-09	PLAU/F7/F3/PLAT/THBD/SERPINE1/NFE2L2	7
