Node	Type	jinyinhua	xuanshen	gancao	Danggui
PARP1	gene	0	0	0	0
COL3A1	gene	0	0	0	0
CXCL11	gene	0	0	0	0
CXCL2	gene	0	0	0	0
HSF1	gene	0	0	0	0
CXCL10	gene	0	0	0	0
CHUK	gene	0	0	0	0
SPP1	gene	0	0	0	0
RUNX2	gene	0	0	0	0
E2F1	gene	0	0	0	0
CTSD	gene	0	0	0	0
IGFBP3	gene	0	0	0	0
IGF2	gene	0	0	0	0
CD40LG	gene	0	0	0	0
IRF1	gene	0	0	0	0
HK2	gene	0	0	0	0
CTNNB1	gene	0	0	0	0
MMP10	gene	0	0	0	0
MDM2	gene	0	0	0	0
APP	gene	0	0	0	0
PCNA	gene	0	0	0	0
MCL1	gene	0	0	0	0
XIAP	gene	0	0	0	0
PTGES	gene	0	0	0	0
MET	gene	0	0	0	0
DRD2	gene	0	0	0	0
MOL000358	multiDrug	1	1	0	1
MOL000449	multiDrug	1	0	0	1
MOL001484	gancao	0	0	1	0
MOL001792	gancao	0	0	1	0
MOL002311	gancao	0	0	1	0
MOL000239	gancao	0	0	1	0
MOL002565	gancao	0	0	1	0
MOL000354	gancao	0	0	1	0
MOL000359	multiDrug	0	1	1	0
MOL003656	gancao	0	0	1	0
MOL003896	gancao	0	0	1	0
MOL000392	gancao	0	0	1	0
MOL000417	gancao	0	0	1	0
MOL000422	multiDrug	1	0	1	0
MOL004328	gancao	0	0	1	0
MOL004805	gancao	0	0	1	0
MOL004806	gancao	0	0	1	0
MOL004808	gancao	0	0	1	0
MOL004810	gancao	0	0	1	0
MOL004811	gancao	0	0	1	0
MOL004814	gancao	0	0	1	0
MOL004815	gancao	0	0	1	0
MOL004820	gancao	0	0	1	0
MOL004824	gancao	0	0	1	0
MOL004827	gancao	0	0	1	0
MOL004828	gancao	0	0	1	0
MOL004829	gancao	0	0	1	0
MOL004833	gancao	0	0	1	0
MOL004835	gancao	0	0	1	0
MOL004838	gancao	0	0	1	0
MOL004841	gancao	0	0	1	0
MOL004848	gancao	0	0	1	0
MOL004849	gancao	0	0	1	0
MOL004855	gancao	0	0	1	0
MOL004856	gancao	0	0	1	0
MOL004857	gancao	0	0	1	0
MOL004863	gancao	0	0	1	0
MOL004864	gancao	0	0	1	0
MOL004866	gancao	0	0	1	0
MOL004879	gancao	0	0	1	0
MOL004882	gancao	0	0	1	0
MOL004883	gancao	0	0	1	0
MOL004884	gancao	0	0	1	0
MOL004885	gancao	0	0	1	0
MOL004891	gancao	0	0	1	0
MOL004898	gancao	0	0	1	0
MOL004903	gancao	0	0	1	0
MOL004904	gancao	0	0	1	0
MOL004907	gancao	0	0	1	0
MOL004908	gancao	0	0	1	0
MOL004910	gancao	0	0	1	0
MOL004911	gancao	0	0	1	0
MOL004912	gancao	0	0	1	0
MOL004913	gancao	0	0	1	0
MOL004914	gancao	0	0	1	0
MOL004915	gancao	0	0	1	0
MOL004924	gancao	0	0	1	0
MOL004935	gancao	0	0	1	0
MOL004941	gancao	0	0	1	0
MOL004945	gancao	0	0	1	0
MOL004948	gancao	0	0	1	0
MOL004949	gancao	0	0	1	0
MOL004957	gancao	0	0	1	0
MOL004959	gancao	0	0	1	0
MOL004961	gancao	0	0	1	0
MOL004966	gancao	0	0	1	0
MOL000497	gancao	0	0	1	0
MOL004974	gancao	0	0	1	0
MOL004978	gancao	0	0	1	0
MOL004980	gancao	0	0	1	0
MOL004988	gancao	0	0	1	0
MOL004989	gancao	0	0	1	0
MOL004990	gancao	0	0	1	0
MOL004991	gancao	0	0	1	0
MOL004993	gancao	0	0	1	0
MOL000500	gancao	0	0	1	0
MOL005000	gancao	0	0	1	0
MOL005001	gancao	0	0	1	0
MOL005003	gancao	0	0	1	0
MOL005007	gancao	0	0	1	0
MOL005008	gancao	0	0	1	0
MOL005012	gancao	0	0	1	0
MOL005016	gancao	0	0	1	0
MOL005017	gancao	0	0	1	0
MOL005018	gancao	0	0	1	0
MOL005020	gancao	0	0	1	0
MOL000098	multiDrug	1	0	1	0
MOL001494	jinyinhua	1	0	0	0
MOL001495	jinyinhua	1	0	0	0
MOL002914	jinyinhua	1	0	0	0
MOL003006	jinyinhua	1	0	0	0
MOL003014	jinyinhua	1	0	0	0
MOL002773	jinyinhua	1	0	0	0
MOL003036	jinyinhua	1	0	0	0
MOL003044	jinyinhua	1	0	0	0
MOL003095	jinyinhua	1	0	0	0
MOL003111	jinyinhua	1	0	0	0
MOL003117	jinyinhua	1	0	0	0
MOL003128	jinyinhua	1	0	0	0
